Topic ID | Top Words | Suggested Label (fill in manually)
----------------------------------------------------------------------
Topic   0 | milk, cereal, soft, pie, serve, crack, it, bar | ??? 
Topic   1 | donuts, donut, the, they, and, creme, was, to | ??? 
Topic   2 | macarons, bouchon, the, venetian, bakery, macaroons, and, croissant | ??? 
Topic   3 | ice, cream, the, is, and, it, flavors, of | ??? 
Topic   4 | cupcake, cupcakes, sprinkles, velvet, red, atm, frosting, the | ??? 
Topic   5 | cake, cakes, slice, was, and, the, it, birthday | ??? 
Topic   6 | amelie, is, to, and, french, the, of, charlotte | ??? 
Topic   7 | she, he, to, we, me, us, and, the | ??? 
Topic   8 | coffee, place, is, great, and, this, food, the | ??? 
Topic   9 | lobster, tail, tails, cannoli, was, the, to, it | ??? 
Topic  10 | presti, italian, italy, pizza, little, and, number, is | ??? 
Topic  11 | cannoli, cannolis, was, the, we, to, and, bakery | ??? 
Topic  12 | charlotte, in, is, place, and, to, you, this | ??? 
Topic  13 | croissant, croissants, almond, cheese, was, and, the, chocolate | ??? 
Topic  14 | sundae, ghirardelli, fudge, hot, chocolate, sundaes, cream, ice | ??? 
Topic  15 | custard, jarling, champaign, snowstorm, frozen, jarlings, is, it | ??? 
Topic  16 | pastries, are, place, the, not, coffee, to, your | ??? 
Topic  17 | carlo, bakery, vegas, line, we, the, to, cake | ??? 
Topic  18 | flavors, great, so, place, unique, awesome, flavor, and | ??? 
Topic  19 | french, pastries, and, decor, the, place, is, baguettes | ??? 
Topic  20 | jeni, flavors, cream, ice, is, waffle, you, cones | ??? 
Topic  21 | crepe, crepes, market, line, the, you, to, and | ??? 
Topic  22 | republic, sweet, ice, cream, sorbet, flavors, mint, to | ??? 
Topic  23 | matcha, maiko, cafe, soft, hojicha, is, serve, drinks | ??? 
Topic  24 | waffle, cone, cones, ice, cream, waffles, and, the | ??? 
Topic  25 | churn, ice, cream, is, flavors, and, of, candy | ??? 
Topic  26 | vegan, dairy, options, free, lactose, sorbet, have, they | ??? 
Topic  27 | cake, she, order, to, that, called, said, we | ??? 
Topic  28 | breakfast, sandwich, sandwiches, chicken, soup, good, very, coffee | ??? 
Topic  29 | salted, brownie, caramel, brownies, are, the, great, is | ??? 
Topic  30 | bread, 85, 85c, vegas, in, bakery, breads, pastries | ??? 
Topic  31 | boba, tea, drinks, rose, milk, matcha, latte, drink | ??? 
Topic  32 | closed, at, close, open, hours, they, door, pm | ??? 
Topic  33 | mask, gloves, wearing, masks, covid, customers, employees, health | ??? 
Topic  34 | cleveland, flavors, cream, ice, in, best, they, of | ??? 
Topic  35 | mitchell, ice, cream, is, cleveland, flavors, always, ohio | ??? 
Topic  36 | gelato, cream, ice, was, and, the, is, flavors | ??? 
Topic  37 | halo, filipino, ice, dessert, taho, taro, their, desserts | ??? 
Topic  38 | handel, youngstown, handels, cream, flavors, ice, from, love | ??? 
Topic  39 | mason, flavors, creamery, they, ice, cream, and, dog | ??? 
Topic  40 | pecan, butter, pecans, ice, cream, cone, roasted, and | ??? 
Topic  41 | melt, fortune, ice, cream, chinese, roosevelt, flavors, cookie | ??? 
Topic  42 | vegas, ice, cream, is, in, you, your, sampler | ??? 
Topic  43 | hype, what, not, all, pretty, about, sure, ice | ??? 
Topic  44 | vietnamese, coffee, ice, cream, thai, flavor, is, very | ??? 
Topic  45 | ramen, broth, noodles, chicken, soup, winter, pork, mason | ??? 
Topic  46 | basil, sorbet, lime, caramel, yeah, salted, ice, cream | ??? 
Topic  47 | pittsburgh, page, sundae, nancy, is, cash, soft, during | ??? 
Topic  48 | taiyaki, somi, serve, soft, fish, ube, somisomi, nutella | ??? 
Topic  49 | sandwich, ice, cookie, cream, chip, cookies, was, molasses | ??? 
Topic  50 | honey, hut, cleveland, ice, cream, pecan, years, you | ??? 
Topic  51 | popcorn, campbell, dichotomy, jalape, candy, os, bags, covered | ??? 
Topic  52 | mint, chip, real, ice, cream, leaves, natural, ingredients | ??? 
Topic  53 | staff, friendly, ice, cream, has, waaaayyyy, kiddy, dreads | ??? 
Topic  54 | cannolis, cannoli, wait, bakery, that, number, it, were | ??? 
Topic  55 | fatty, daddy, and, we, cookie, ice, flavors, toasted | ??? 
Topic  56 | lie, am, french, decorated, is, love, always, and | ??? 
Topic  57 | batch, batchmaker, november, pies, to, brownie, this, the | ??? 
Topic  58 | chocolate, covered, bacon, bags, chocolates, pretzels, buy, you | ??? 
Topic  59 | tiramisu, not, cheese, is, presti, dessert, fwench, bakewy | ??? 
Topic  60 | cashiers, line, breads, bakery, cashier, pay, bread, wait | ??? 
Topic  61 | cone, pretzel, cream, ice, coffee, pecan, vietnamese, too | ??? 
Topic  62 | chinese, fortune, cookie, flavors, oatmeal, ice, take, artesian | ??? 
Topic  63 | line, wait, ice, cream, window, coldstone, waited, there | ??? 
Topic  64 | linq, chocolate, area, cream, ice, you, shop, floats | ??? 
Topic  65 | latte, iced, barista, shot, coffee, she, espresso, extracted | ??? 
